,user_id,total_ads,avg_cpm,median_cpm,max_cpm,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,avg_ads_per_session,max_ads_per_session,sex,age,city_id,sex_binary,age_group,city_group,at_least_one,at_least_two,at_least_three
0,0,2,2053.83,2053.83,3302.01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,1,2,19,0,0,19-35,0,0.5,0.0,0.0
1,1,82,124.0680487804878,90.0,1140.0,0,0,0,0,0,0,0,0,7,15,5,6,3,0,2,10,12,6,4,9,2,0,0,1,2.1578947368421053,7,1,0,1,1,0-18,other,0.0,0.0,0.0
2,3,8,370.88,288.13,715.92,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,1,1,1.0,1,1,20,3,1,19-35,3,0.0,0.0,0.0
3,4,132,44.62795454545455,30.16,255.36,6,0,0,0,0,0,2,4,13,20,10,8,6,8,5,4,4,13,6,5,11,4,3,0,2.0952380952380953,7,2,29,4,0,19-35,other,0.0,0.0,0.0
4,5,9,91.05555555555556,42.5,390.0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,0,0,0,1,0,0,0,0,0,1.2857142857142858,2,2,22,5,0,19-35,other,0.0,0.0,0.0
5,6,42,318.7238095238095,253.75,912.0,0,0,0,0,0,0,3,5,4,3,4,2,1,3,8,3,2,1,1,0,2,0,0,0,1.5555555555555556,4,1,21,6,1,19-35,other,0.16666666666666666,0.0,0.0
6,7,10,357.213,353.83500000000004,820.0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1.1111111111111112,2,2,18,0,0,19-35,0,0.0,0.0,0.0
7,8,6,86.69166666666666,81.25,140.0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1.5,2,2,28,3,0,19-35,3,0.6666666666666666,0.3333333333333333,0.0
8,9,6,139.02166666666668,113.1,278.67,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,2.0,4,1,15,7,1,0-18,7,0.0,0.0,0.0
9,11,10,257.218,139.7,1230.0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,1,1,0,0,0,1,0,0,0,0,2.0,3,1,19,3,1,19-35,3,0.0,0.0,0.0
10,12,1,37.25,37.25,37.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,1,2,26,8,0,19-35,8,0.0,0.0,0.0
