Id,Pred
0,0.004322973
1,-0.005563395
2,0.0034985098
3,0.0065667517
4,-0.006017307
5,0.0029597997
6,0.0024145024
7,0.01976889
8,0.010485813
9,0.0032208022
10,-0.0027079605
11,-0.00095674576
12,-0.028230855
13,0.00030922375
14,-0.0003774513
15,-0.0037480704
16,-0.0040652263
17,-0.0015036417
18,0.003402691
19,-0.003871196
20,-0.0053120395
21,-0.0008754828
22,0.0014827546
23,0.001183752
24,0.005755534
25,0.0065526622
26,0.0137691405
27,0.0066170245
28,0.00091269764
29,0.004682508
30,-0.0042311396
31,0.0035243197
32,-0.0007072134
33,-0.0076745036
34,-0.0026055677
35,-0.0056173303
36,-0.003034214
37,0.0008646602
38,-0.0077951276
39,0.0014559269
40,-0.0017253297
41,-0.001597589
42,-5.3699685e-05
43,0.0018649364
44,-0.0024456764
45,0.0001418225
46,-0.00035699876
47,-0.00066997553
48,-0.0002285208
49,0.0031424232
50,0.001819331
51,-0.0021001247
52,-0.001644887
53,0.011416503
54,-0.00094327907
55,-0.00042097858
56,-0.00075042463
57,-0.001662542
58,0.0020565982
59,0.0001407709
60,-0.004578295
61,-0.0023781508
62,-0.005330922
63,-0.0027465406
64,0.0010738457
65,-0.0076369587
66,0.001960335
67,-0.0015765174
68,-0.0012884281
69,-9.124746e-05
70,0.0019145675
71,-0.0024832245
72,-0.0004751452
73,-0.00027530402
74,-0.00017277736
75,-0.00023380546
76,0.0022958065
77,0.0023360683
78,-0.0017635017
79,-0.00044797602
80,0.011291673
81,-0.00039559603
82,-9.872761e-05
83,-3.0047464e-05
84,-0.0011458045
85,0.0028107134
86,0.0001566353
87,-0.0014144166
88,0.0018865785
89,0.033176087
90,0.03253033
91,-0.0072424766
92,0.0061946483
93,0.017993206
94,0.00582488
95,0.0028043955
96,-0.0002543741
97,0.0028446987
98,-0.0016127147
99,-0.00041807123
100,0.001650327
101,0.0019334058
102,0.003181606
103,-0.0014130438
104,-0.00017025457
105,0.001652314
106,0.007115215
107,0.0238643
108,0.014957807
109,0.013389602
110,0.04004677
111,0.0013877007
112,0.009645893
113,0.010873281
114,0.03867501
115,0.010995869
116,0.013589846
117,0.0024785486
118,0.0115952715
119,0.0008328383
120,0.011269275
121,-0.0015127981
122,0.003218846
123,-0.0020418593
124,0.0059743035
125,0.0053017265
126,0.0027539888
127,-0.007168187
128,0.005679076
129,-0.0018298021
130,0.0023893428
131,-0.0022580004
132,0.0009889988
133,-0.0012611488
134,-0.0028225032
135,0.0009082165
136,0.0011202575
137,-0.0007843315
138,-0.007001616
139,0.0019132524
140,0.00063938997
141,0.0011225977
142,-0.0014591597
143,-0.00031216367
144,-0.0067688324
145,-0.00080833345
146,-0.0004886472
147,-0.0017729203
148,-0.0019178856
149,-0.014616327
150,-0.00063919404
151,-0.00027802063
152,0.00045146153
153,-0.016332522
154,-0.0025913755
155,-0.004864981
156,0.011604589
157,-7.641156e-05
158,-0.0021602253
159,-0.0010402693
160,-0.0013071653
161,0.0017195058
162,0.00079868623
163,-0.00049488427
164,-0.0054862206
165,0.0011356334
166,0.001551315
167,-0.00055691396
168,-0.0066667623
169,0.0021610695
170,0.0011437957
171,0.001553656
172,-0.000967845
173,-0.00015288299
174,-0.0070185973
175,-0.0005605147
176,-0.0005540308
177,-0.0014593102
178,-0.0016840677
179,-0.014125016
180,-0.00020813447
181,-0.000118739714
182,0.0004987654
183,-0.016179996
184,-0.0021681974
185,-0.004360574
186,0.011832007
187,0.0001351935
188,-0.0022524854
189,-0.00060920895
190,-0.00087610586
191,0.0020532731
192,0.0048212204
193,-0.00021870257
194,-0.00036530814
195,-0.003031567
196,-0.0107920775
197,-0.016916525
198,0.00020605989
199,-0.0047863536
200,0.001918681
201,0.015958453
202,-0.0043843132
203,0.0025568334
204,0.014270464
205,-0.0034431198
206,-0.036798473
207,-8.179305e-05
208,0.0027189362
209,0.0076878536
210,0.012343786
211,-0.00333033
212,0.007288371
213,0.01225135
214,-0.0034514884
215,0.0060691647
216,0.0059350133
217,0.022094486
218,0.011770406
219,-0.002653676
220,-0.0011324835
221,0.048807327
222,0.026407672
223,-0.0030548342
224,-0.0013135908
225,0.0024904232
226,0.00508124
227,0.004874282
228,0.0040326696
229,-0.00027007423
230,-5.3746266e-05
231,0.031289056
232,0.031972893
233,-0.0028038893
234,0.00024461164
235,0.0025335527
236,0.005128544
237,0.0045591
238,0.0064136665
239,-0.0023691056
240,-0.0020196326
241,-0.0030936864
242,-0.003352832
243,0.0010599501
244,0.001973435
245,0.00048777057
246,0.0051856963
247,-0.0015315944
248,0.0029739426
249,-0.00075647753
250,-0.0017596148
251,-0.0019905402
252,0.0067370334
253,-0.0050391923
254,-0.0025314956
255,0.022641756
256,0.009209639
257,-0.001155014
258,-0.015215109
259,0.020973504
260,0.035225503
261,0.00036362163
262,-0.004877121
263,-0.00835884
264,-0.0021588253
265,0.00012845441
266,-0.006970866
267,-0.0024112938
268,-0.00994277
269,-0.0021320446
270,0.00039339656
271,-0.0066840216
272,-0.0012358162
273,-0.0042557474
274,0.012652204
275,-0.0028815244
276,0.016581045
277,0.008485997
278,0.0038281283
